DateTime;Open;High;Low;Close;TickVolume;Spread
2024.07.18 14:00;1.49522;1.49551;1.49512;1.49550;282;12
2024.07.18 14:10;1.49550;1.49555;1.49537;1.49541;268;12
2024.07.18 14:20;1.49540;1.49557;1.49523;1.49526;235;12
2024.07.18 14:30;1.49526;1.49532;1.49503;1.49526;261;12
2024.07.18 14:40;1.49526;1.49532;1.49482;1.49482;260;12
2024.07.18 14:50;1.49483;1.49501;1.49454;1.49471;326;12
2024.07.18 15:00;1.49470;1.49508;1.49469;1.49501;373;12
2024.07.18 15:10;1.49496;1.49551;1.49456;1.49527;395;12
2024.07.18 15:20;1.49529;1.49587;1.49529;1.49531;387;12
2024.07.18 15:30;1.49520;1.49589;1.49519;1.49557;657;7
2024.07.18 15:40;1.49556;1.49561;1.49487;1.49490;571;12
2024.07.18 15:50;1.49489;1.49506;1.49440;1.49505;575;12
2024.07.18 16:00;1.49501;1.49501;1.49396;1.49444;650;12
2024.07.18 16:10;1.49441;1.49450;1.49384;1.49396;604;12
2024.07.18 16:20;1.49395;1.49402;1.49338;1.49338;503;12
2024.07.18 16:30;1.49335;1.49397;1.49314;1.49395;624;7
2024.07.18 16:40;1.49396;1.49428;1.49343;1.49372;600;7
2024.07.18 16:50;1.49371;1.49381;1.49304;1.49322;520;12
2024.07.18 17:00;1.49321;1.49353;1.49265;1.49333;589;10
2024.07.18 17:10;1.49333;1.49342;1.49288;1.49305;478;12
2024.07.18 17:20;1.49306;1.49346;1.49293;1.49331;408;12
2024.07.18 17:30;1.49330;1.49398;1.49325;1.49385;547;12
2024.07.18 17:40;1.49386;1.49449;1.49376;1.49424;673;7
2024.07.18 17:50;1.49424;1.49431;1.49348;1.49397;644;12
2024.07.18 18:00;1.49397;1.49432;1.49369;1.49372;589;12
2024.07.18 18:10;1.49373;1.49378;1.49330;1.49366;507;12
2024.07.18 18:20;1.49366;1.49375;1.49333;1.49361;522;12
2024.07.18 18:30;1.49361;1.49382;1.49344;1.49368;467;12
2024.07.18 18:40;1.49368;1.49492;1.49360;1.49447;619;12
2024.07.18 18:50;1.49448;1.49464;1.49421;1.49448;526;12
2024.07.18 19:00;1.49449;1.49471;1.49436;1.49448;536;12
2024.07.18 19:10;1.49449;1.49487;1.49449;1.49479;470;12
2024.07.18 19:20;1.49479;1.49519;1.49461;1.49486;440;12
2024.07.18 19:30;1.49486;1.49499;1.49474;1.49493;505;12
2024.07.18 19:40;1.49492;1.49519;1.49477;1.49488;461;12
2024.07.18 19:50;1.49489;1.49495;1.49453;1.49463;417;12
2024.07.18 20:00;1.49463;1.49482;1.49438;1.49482;444;12
2024.07.18 20:10;1.49482;1.49498;1.49444;1.49470;452;12
2024.07.18 20:20;1.49469;1.49471;1.49394;1.49406;429;12
2024.07.18 20:30;1.49406;1.49415;1.49383;1.49412;334;12
2024.07.18 20:40;1.49412;1.49414;1.49392;1.49399;333;12
2024.07.18 20:50;1.49399;1.49423;1.49386;1.49393;403;12
2024.07.18 21:00;1.49391;1.49416;1.49385;1.49402;457;12
2024.07.18 21:10;1.49403;1.49459;1.49403;1.49459;431;12
2024.07.18 21:20;1.49459;1.49475;1.49432;1.49437;450;12
2024.07.18 21:30;1.49437;1.49451;1.49383;1.49407;454;12
2024.07.18 21:40;1.49406;1.49423;1.49391;1.49419;445;12
2024.07.18 21:50;1.49420;1.49433;1.49386;1.49421;453;12
2024.07.18 22:00;1.49420;1.49420;1.49382;1.49402;533;12
2024.07.18 22:10;1.49403;1.49421;1.49387;1.49420;532;12
2024.07.18 22:20;1.49422;1.49443;1.49419;1.49424;473;12
2024.07.18 22:30;1.49425;1.49447;1.49416;1.49437;553;12
2024.07.18 22:40;1.49435;1.49440;1.49400;1.49401;414;12
2024.07.18 22:50;1.49402;1.49432;1.49380;1.49422;305;12
2024.07.18 23:00;1.49423;1.49435;1.49390;1.49423;118;13
2024.07.18 23:10;1.49424;1.49430;1.49410;1.49413;84;14
2024.07.18 23:20;1.49413;1.49413;1.49381;1.49381;61;6
2024.07.18 23:30;1.49381;1.49382;1.49342;1.49364;78;15
2024.07.18 23:40;1.49364;1.49374;1.49323;1.49325;87;7
2024.07.18 23:50;1.49322;1.49333;1.49300;1.49331;140;6
2024.07.19 00:00;1.49280;1.49336;1.49241;1.49305;97;59
2024.07.19 00:10;1.49305;1.49355;1.49305;1.49337;85;47
2024.07.19 00:20;1.49337;1.49346;1.49292;1.49328;69;62
2024.07.19 00:30;1.49334;1.49348;1.49296;1.49311;97;69
2024.07.19 00:40;1.49311;1.49343;1.49305;1.49317;88;69
2024.07.19 00:50;1.49314;1.49339;1.49312;1.49314;83;69
2024.07.19 01:00;1.49316;1.49360;1.49291;1.49349;92;15
2024.07.19 01:10;1.49349;1.49350;1.49326;1.49348;80;14
2024.07.19 01:20;1.49348;1.49365;1.49339;1.49358;134;13
2024.07.19 01:30;1.49358;1.49358;1.49326;1.49335;117;12
2024.07.19 01:40;1.49335;1.49338;1.49320;1.49327;55;9
2024.07.19 01:50;1.49327;1.49357;1.49327;1.49355;101;10
2024.07.19 02:00;1.49352;1.49363;1.49343;1.49363;147;10
2024.07.19 02:10;1.49364;1.49366;1.49349;1.49353;104;12
2024.07.19 02:20;1.49353;1.49357;1.49344;1.49347;76;8
2024.07.19 02:30;1.49346;1.49352;1.49341;1.49351;93;11
2024.07.19 02:40;1.49351;1.49369;1.49343;1.49368;142;12
2024.07.19 02:50;1.49368;1.49380;1.49364;1.49365;127;12
2024.07.19 03:00;1.49366;1.49433;1.49366;1.49412;420;12
2024.07.19 03:10;1.49413;1.49428;1.49369;1.49375;330;12
2024.07.19 03:20;1.49375;1.49381;1.49349;1.49352;279;12
2024.07.19 03:30;1.49353;1.49361;1.49335;1.49336;232;12
2024.07.19 03:40;1.49335;1.49344;1.49319;1.49323;280;12
2024.07.19 03:50;1.49324;1.49332;1.49294;1.49294;353;12
2024.07.19 04:00;1.49295;1.49328;1.49274;1.49279;350;12
2024.07.19 04:10;1.49282;1.49288;1.49269;1.49283;260;12
2024.07.19 04:20;1.49283;1.49285;1.49238;1.49239;239;12
2024.07.19 04:30;1.49240;1.49258;1.49232;1.49241;313;12
2024.07.19 04:40;1.49241;1.49245;1.49223;1.49241;291;12
2024.07.19 04:50;1.49241;1.49251;1.49235;1.49248;307;12
2024.07.19 05:00;1.49248;1.49251;1.49226;1.49250;252;12
2024.07.19 05:10;1.49249;1.49253;1.49231;1.49238;275;12
2024.07.19 05:20;1.49239;1.49250;1.49224;1.49231;282;12
2024.07.19 05:30;1.49230;1.49251;1.49228;1.49245;250;12
2024.07.19 05:40;1.49245;1.49255;1.49230;1.49240;242;12
2024.07.19 05:50;1.49240;1.49250;1.49230;1.49250;229;12
2024.07.19 06:00;1.49250;1.49253;1.49223;1.49232;255;12
2024.07.19 06:10;1.49232;1.49235;1.49222;1.49231;189;12
2024.07.19 06:20;1.49231;1.49238;1.49226;1.49231;152;9
2024.07.19 06:30;1.49231;1.49238;1.49226;1.49236;177;12
2024.07.19 06:40;1.49236;1.49241;1.49223;1.49225;132;12
2024.07.19 06:50;1.49225;1.49245;1.49225;1.49233;195;12
2024.07.19 07:00;1.49232;1.49234;1.49218;1.49218;155;12
2024.07.19 07:10;1.49218;1.49226;1.49213;1.49214;134;12
2024.07.19 07:20;1.49215;1.49216;1.49208;1.49212;136;12
2024.07.19 07:30;1.49212;1.49232;1.49210;1.49230;143;12
2024.07.19 07:40;1.49230;1.49232;1.49224;1.49226;142;12
2024.07.19 07:50;1.49225;1.49228;1.49203;1.49218;176;12
2024.07.19 08:00;1.49218;1.49222;1.49186;1.49205;253;12
2024.07.19 08:10;1.49206;1.49213;1.49196;1.49208;202;12
2024.07.19 08:20;1.49209;1.49215;1.49208;1.49211;177;12
2024.07.19 08:30;1.49211;1.49228;1.49209;1.49211;222;12
2024.07.19 08:40;1.49210;1.49230;1.49207;1.49226;201;12
2024.07.19 08:50;1.49225;1.49230;1.49207;1.49210;238;12
2024.07.19 09:00;1.49208;1.49237;1.49195;1.49209;345;12
2024.07.19 09:10;1.49209;1.49244;1.49197;1.49219;320;12
2024.07.19 09:20;1.49219;1.49248;1.49215;1.49215;288;12
2024.07.19 09:30;1.49216;1.49243;1.49200;1.49221;348;12
2024.07.19 09:40;1.49221;1.49236;1.49192;1.49205;289;12
2024.07.19 09:50;1.49205;1.49252;1.49189;1.49206;461;12
2024.07.19 10:00;1.49206;1.49271;1.49196;1.49253;604;12
2024.07.19 10:10;1.49252;1.49254;1.49208;1.49242;541;12
2024.07.19 10:20;1.49242;1.49296;1.49238;1.49288;509;12
2024.07.19 10:30;1.49288;1.49321;1.49282;1.49296;534;12
2024.07.19 10:40;1.49299;1.49334;1.49283;1.49303;471;12
2024.07.19 10:50;1.49303;1.49315;1.49263;1.49284;495;12
2024.07.19 11:00;1.49285;1.49287;1.49206;1.49232;553;12
2024.07.19 11:10;1.49233;1.49244;1.49201;1.49221;476;12
2024.07.19 11:20;1.49221;1.49279;1.49219;1.49230;460;12
2024.07.19 11:30;1.49232;1.49255;1.49194;1.49227;431;12
2024.07.19 11:40;1.49227;1.49264;1.49217;1.49233;385;12
2024.07.19 11:50;1.49233;1.49247;1.49192;1.49215;455;12
2024.07.19 12:00;1.49209;1.49235;1.49209;1.49218;356;12
