DateTime;Open;High;Low;Close;TickVolume;Spread
2024.07.18 14:00;19880.80;19888.80;19867.90;19880.80;1083;200
2024.07.18 14:10;19880.50;19890.10;19866.60;19868.50;1134;200
2024.07.18 14:20;19869.00;19880.90;19868.90;19872.10;961;200
2024.07.18 14:30;19871.80;19893.50;19869.40;19890.40;921;200
2024.07.18 14:40;19890.60;19898.90;19887.50;19893.50;926;200
2024.07.18 14:50;19893.00;19897.90;19882.90;19895.60;940;200
2024.07.18 15:00;19893.60;19893.90;19881.40;19883.80;1067;200
2024.07.18 15:10;19884.10;19912.00;19883.90;19910.60;1011;200
2024.07.18 15:20;19911.00;19920.90;19908.40;19915.00;1248;200
2024.07.18 15:30;19933.40;19934.90;19911.80;19929.10;1602;200
2024.07.18 15:40;19929.30;19951.30;19927.00;19949.90;1498;200
2024.07.18 15:50;19950.30;19955.90;19939.90;19953.30;1374;200
2024.07.18 16:00;19953.10;19970.60;19950.60;19963.80;1470;200
2024.07.18 16:10;19963.40;19968.30;19960.40;19963.90;1268;200
2024.07.18 16:20;19964.10;19964.10;19941.60;19949.10;1495;200
2024.07.18 16:30;19947.60;19957.30;19893.30;19915.20;2155;60
2024.07.18 16:40;19915.10;19917.70;19835.30;19865.60;2157;70
2024.07.18 16:50;19866.50;19881.00;19829.20;19877.00;2060;60
2024.07.18 17:00;19876.40;19914.20;19852.70;19913.60;2096;70
2024.07.18 17:10;19914.00;19915.70;19879.50;19884.20;2039;70
2024.07.18 17:20;19882.70;19897.20;19850.90;19856.90;2028;70
2024.07.18 17:30;19857.50;19857.50;19742.20;19760.90;2161;70
2024.07.18 17:40;19760.30;19764.70;19703.40;19763.90;2220;70
2024.07.18 17:50;19765.40;19831.90;19755.40;19800.20;2149;70
2024.07.18 18:00;19800.30;19815.20;19733.70;19737.70;2129;80
2024.07.18 18:10;19738.40;19740.70;19651.70;19659.40;2090;80
2024.07.18 18:20;19659.90;19672.40;19628.00;19633.60;2119;70
2024.07.18 18:30;19632.50;19669.00;19602.50;19656.50;2109;70
2024.07.18 18:40;19657.20;19672.70;19599.30;19599.30;2072;70
2024.07.18 18:50;19601.10;19644.70;19596.50;19607.80;2082;70
2024.07.18 19:00;19606.30;19650.50;19583.80;19648.60;2060;70
2024.07.18 19:10;19648.20;19648.20;19609.00;19622.60;1995;70
2024.07.18 19:20;19621.00;19655.40;19614.90;19644.80;1976;70
2024.07.18 19:30;19645.20;19704.70;19632.20;19703.50;1985;70
2024.07.18 19:40;19703.70;19714.60;19677.50;19677.50;1952;70
2024.07.18 19:50;19677.70;19725.00;19673.20;19724.50;1934;60
2024.07.18 20:00;19724.30;19732.20;19666.30;19675.20;2069;60
2024.07.18 20:10;19675.40;19736.80;19675.40;19731.70;1912;80
2024.07.18 20:20;19727.90;19756.70;19703.70;19713.20;2014;70
2024.07.18 20:30;19713.30;19744.00;19701.70;19712.00;2038;70
2024.07.18 20:40;19713.70;19739.60;19702.80;19725.80;1919;70
2024.07.18 20:50;19726.00;19726.00;19672.50;19684.20;2030;70
2024.07.18 21:00;19684.10;19695.70;19652.70;19694.20;1969;70
2024.07.18 21:10;19694.40;19695.80;19655.70;19667.20;2000;70
2024.07.18 21:20;19667.00;19702.70;19659.20;19660.60;1993;70
2024.07.18 21:30;19660.20;19668.30;19624.20;19625.50;1989;70
2024.07.18 21:40;19625.20;19651.70;19625.20;19628.00;1832;70
2024.07.18 21:50;19626.70;19665.80;19612.70;19657.50;1878;60
2024.07.18 22:00;19656.50;19681.40;19626.70;19635.70;1916;60
2024.07.18 22:10;19636.70;19641.40;19570.20;19604.20;2000;80
2024.07.18 22:20;19605.00;19638.80;19586.20;19637.30;2032;70
2024.07.18 22:30;19633.80;19700.20;19625.30;19698.40;2043;70
2024.07.18 22:40;19698.70;19775.40;19695.70;19774.20;2065;70
2024.07.18 22:50;19758.50;19772.00;19679.20;19711.20;2139;70
2024.07.18 23:00;19709.00;19725.60;19679.40;19718.60;2019;70
2024.07.18 23:10;19719.60;19722.80;19705.50;19707.30;873;200
2024.07.18 23:30;19738.00;19749.40;19736.80;19747.90;665;170
2024.07.18 23:40;19747.70;19760.70;19746.80;19759.60;627;140
2024.07.18 23:50;19759.70;19767.80;19756.40;19756.40;596;160
2024.07.19 01:00;19771.10;19787.00;19764.20;19783.70;620;200
2024.07.19 01:10;19787.70;19792.10;19777.30;19779.70;566;150
2024.07.19 01:20;19779.80;19779.80;19758.20;19762.80;842;200
2024.07.19 01:30;19763.60;19771.80;19751.80;19757.90;642;200
2024.07.19 01:40;19757.60;19776.70;19756.80;19776.40;611;190
2024.07.19 01:50;19776.20;19778.20;19768.50;19771.30;301;120
2024.07.19 02:00;19771.20;19773.80;19763.70;19766.50;307;120
2024.07.19 02:10;19766.70;19776.60;19764.50;19775.90;375;120
2024.07.19 02:20;19775.70;19781.00;19772.20;19778.80;277;120
2024.07.19 02:30;19779.00;19779.60;19772.90;19775.70;329;140
2024.07.19 02:40;19775.40;19777.30;19758.70;19761.20;549;190
2024.07.19 02:50;19761.40;19764.80;19759.30;19761.50;538;130
2024.07.19 03:00;19760.80;19763.40;19751.10;19761.50;1077;130
2024.07.19 03:10;19761.20;19770.20;19759.20;19761.40;904;180
2024.07.19 03:20;19761.70;19778.30;19761.20;19776.40;773;180
2024.07.19 03:30;19776.70;19780.70;19765.80;19768.60;755;160
2024.07.19 03:40;19769.70;19770.80;19762.80;19765.00;766;190
2024.07.19 03:50;19765.20;19767.00;19760.30;19763.30;729;130
2024.07.19 04:00;19763.50;19771.00;19763.00;19765.70;725;130
