DateTime;Open;High;Low;Close;TickVolume;Spread
2024.07.01 00:00;1.26510;1.26560;1.26373;1.26475;510;19
2024.07.01 01:00;1.26469;1.26520;1.26457;1.26500;767;1
2024.07.01 02:00;1.26502;1.26513;1.26473;1.26486;526;0
2024.07.01 03:00;1.26487;1.26560;1.26466;1.26527;1636;0
2024.07.01 04:00;1.26527;1.26657;1.26503;1.26583;1775;0
2024.07.01 05:00;1.26583;1.26613;1.26563;1.26607;1124;0
2024.07.01 06:00;1.26607;1.26610;1.26544;1.26557;682;0
2024.07.01 07:00;1.26557;1.26594;1.26544;1.26569;751;0
2024.07.01 08:00;1.26567;1.26664;1.26564;1.26656;1082;0
2024.07.01 09:00;1.26654;1.26889;1.26654;1.26843;2664;0
2024.07.01 10:00;1.26843;1.26861;1.26622;1.26634;2450;0
2024.07.01 11:00;1.26634;1.26801;1.26616;1.26738;2168;0
2024.07.01 12:00;1.26738;1.26772;1.26670;1.26716;1806;0
2024.07.01 13:00;1.26715;1.26736;1.26652;1.26720;1832;2
2024.07.01 14:00;1.26721;1.26802;1.26679;1.26771;1777;3
2024.07.01 15:00;1.26765;1.26773;1.26581;1.26655;2224;0
2024.07.01 16:00;1.26656;1.26841;1.26608;1.26841;2450;0
2024.07.01 17:00;1.27072;1.27092;1.26418;1.26457;3951;0
2024.07.01 18:00;1.26457;1.26470;1.26362;1.26465;2886;0
2024.07.01 19:00;1.26465;1.26577;1.26432;1.26481;1866;0
2024.07.01 20:00;1.26483;1.26493;1.26398;1.26399;1309;2
2024.07.01 21:00;1.26400;1.26415;1.26332;1.26408;1058;0
2024.07.01 22:00;1.26408;1.26460;1.26408;1.26431;845;0
2024.07.01 23:00;1.26430;1.26517;1.26426;1.26495;544;0
2024.07.02 00:00;1.26464;1.26526;1.26337;1.26491;281;0
2024.07.02 01:00;1.26491;1.26507;1.26453;1.26462;232;0
2024.07.02 02:00;1.26462;1.26464;1.26442;1.26456;399;0
2024.07.02 03:00;1.26456;1.26478;1.26392;1.26411;1095;0
2024.07.02 04:00;1.26411;1.26423;1.26350;1.26402;826;0
2024.07.02 05:00;1.26402;1.26411;1.26352;1.26367;798;0
2024.07.02 06:00;1.26366;1.26373;1.26321;1.26340;697;0
2024.07.02 07:00;1.26340;1.26358;1.26320;1.26330;568;0
2024.07.02 08:00;1.26330;1.26373;1.26312;1.26371;918;0
2024.07.02 09:00;1.26370;1.26397;1.26313;1.26328;1520;0
2024.07.02 10:00;1.26327;1.26357;1.26154;1.26249;2316;0
2024.07.02 11:00;1.26250;1.26324;1.26223;1.26290;1823;0
2024.07.02 12:00;1.26290;1.26325;1.26272;1.26324;240;0
2024.07.03 00:00;1.26841;1.26867;1.26663;1.26830;409;0
2024.07.03 01:00;1.26830;1.26912;1.26830;1.26912;294;0
2024.07.03 02:00;1.26911;1.26911;1.26871;1.26872;366;0
2024.07.03 03:00;1.26873;1.26931;1.26873;1.26884;886;0
2024.07.03 04:00;1.26885;1.26885;1.26814;1.26833;804;0
2024.07.03 05:00;1.26833;1.26874;1.26830;1.26840;734;0
2024.07.03 06:00;1.26839;1.26872;1.26839;1.26862;666;1
2024.07.03 07:00;1.26862;1.26886;1.26858;1.26868;482;3
2024.07.03 08:00;1.26867;1.26867;1.26781;1.26813;651;0
2024.07.03 09:00;1.26813;1.26891;1.26792;1.26874;1666;0
2024.07.03 10:00;1.26874;1.26978;1.26864;1.26932;1952;0
2024.07.03 11:00;1.26933;1.27015;1.26883;1.26957;1591;0
2024.07.03 12:00;1.26957;1.26998;1.26921;1.26968;1287;0
2024.07.03 13:00;1.26968;1.27080;1.26943;1.26994;1493;0
2024.07.03 14:00;1.26993;1.27064;1.26963;1.27062;1295;1
2024.07.03 15:00;1.27062;1.27222;1.27021;1.27185;2100;0
2024.07.03 16:00;1.27185;1.27447;1.27180;1.27396;1867;0
2024.07.03 17:00;1.27400;1.27770;1.27400;1.27619;3776;0
2024.07.03 18:00;1.27619;1.27708;1.27565;1.27638;2720;0
2024.07.03 19:00;1.27638;1.27659;1.27512;1.27540;1802;0
2024.07.03 20:00;1.27540;1.27540;1.27351;1.27384;1075;0
2024.07.03 21:00;1.27383;1.27420;1.27338;1.27364;1106;1
2024.07.03 22:00;1.27364;1.27427;1.27357;1.27400;503;0
2024.07.03 23:00;1.27400;1.27430;1.27392;1.27410;306;0
2024.07.04 00:00;1.27455;1.27461;1.27299;1.27433;437;8
2024.07.04 01:00;1.27438;1.27475;1.27423;1.27465;238;0
2024.07.04 02:00;1.27465;1.27485;1.27441;1.27479;382;0
2024.07.04 03:00;1.27480;1.27517;1.27458;1.27509;866;0
2024.07.04 04:00;1.27509;1.27539;1.27476;1.27513;1014;0
2024.07.04 05:00;1.27513;1.27517;1.27457;1.27466;645;0
2024.07.04 06:00;1.27464;1.27468;1.27411;1.27418;652;0
2024.07.04 07:00;1.27420;1.27444;1.27416;1.27434;569;0
2024.07.04 08:00;1.27434;1.27480;1.27409;1.27475;839;0
2024.07.04 09:00;1.27473;1.27493;1.27428;1.27493;1474;0
2024.07.04 10:00;1.27493;1.27537;1.27411;1.27535;1698;0
2024.07.04 11:00;1.27536;1.27624;1.27505;1.27556;1629;0
2024.07.04 12:00;1.27556;1.27569;1.27470;1.27498;1503;0
2024.07.04 13:00;1.27498;1.27637;1.27489;1.27569;1382;0
2024.07.04 14:00;1.27564;1.27594;1.27523;1.27527;1150;0
2024.07.04 15:00;1.27528;1.27594;1.27471;1.27494;1195;0
2024.07.04 16:00;1.27494;1.27564;1.27472;1.27562;1253;0
2024.07.04 17:00;1.27562;1.27637;1.27557;1.27620;1404;0
2024.07.04 18:00;1.27621;1.27674;1.27599;1.27600;976;0
2024.07.04 19:00;1.27601;1.27624;1.27587;1.27609;518;0
2024.07.04 20:00;1.27609;1.27617;1.27592;1.27601;404;0
2024.07.04 21:00;1.27600;1.27620;1.27588;1.27620;303;0
2024.07.04 22:00;1.27619;1.27627;1.27596;1.27611;508;0
2024.07.04 23:00;1.27612;1.27620;1.27569;1.27575;243;0
2024.07.05 00:00;1.27585;1.27612;1.27522;1.27600;378;4
2024.07.05 01:00;1.27598;1.27609;1.27559;1.27567;415;0
2024.07.05 02:00;1.27572;1.27574;1.27539;1.27546;439;0
2024.07.05 03:00;1.27546;1.27669;1.27546;1.27641;1303;0
2024.07.05 04:00;1.27640;1.27686;1.27616;1.27653;1108;0
2024.07.05 05:00;1.27653;1.27666;1.27625;1.27635;822;0
2024.07.05 06:00;1.27635;1.27714;1.27630;1.27711;1124;0
2024.07.05 07:00;1.27712;1.27724;1.27690;1.27700;693;0
2024.07.05 08:00;1.27700;1.27701;1.27653;1.27696;800;0
2024.07.05 09:00;1.27694;1.27766;1.27693;1.27696;1507;0
2024.07.05 10:00;1.27696;1.27802;1.27632;1.27799;1997;0
2024.07.05 11:00;1.27799;1.27813;1.27733;1.27796;1476;0
2024.07.05 12:00;1.27796;1.27891;1.27761;1.27875;1259;0
2024.07.05 13:00;1.27873;1.27909;1.27830;1.27879;1150;0
2024.07.05 14:00;1.27879;1.27885;1.27830;1.27844;1102;0
2024.07.05 15:00;1.27843;1.28104;1.27605;1.28029;3465;0
2024.07.05 16:00;1.28029;1.28139;1.27907;1.27988;3700;0
2024.07.05 17:00;1.27987;1.28016;1.27869;1.27980;3399;0
2024.07.05 18:00;1.27978;1.28119;1.27959;1.28066;2587;0
2024.07.05 19:00;1.28066;1.28083;1.27959;1.27982;1579;0
2024.07.05 20:00;1.27982;1.28047;1.27975;1.28034;1173;0
2024.07.05 21:00;1.28034;1.28168;1.28034;1.28168;1099;0
2024.07.05 22:00;1.28162;1.28170;1.28123;1.28159;1086;0
2024.07.05 23:00;1.28159;1.28161;1.28126;1.28135;669;1
2024.07.08 00:00;1.27960;1.28107;1.27839;1.28044;525;11
2024.07.08 01:00;1.28112;1.28154;1.28066;1.28067;744;0
2024.07.08 02:00;1.28071;1.28097;1.28047;1.28056;743;0
2024.07.08 03:00;1.28052;1.28092;1.28023;1.28046;1095;0
2024.07.08 04:00;1.28046;1.28118;1.28023;1.28114;1142;0
2024.07.08 05:00;1.28114;1.28115;1.28079;1.28094;899;3
2024.07.08 06:00;1.28094;1.28185;1.28084;1.28146;979;0
2024.07.08 07:00;1.28146;1.28147;1.28112;1.28146;664;2
2024.07.08 08:00;1.28146;1.28165;1.28072;1.28095;988;2
2024.07.08 09:00;1.28099;1.28106;1.28017;1.28022;2071;3
2024.07.08 10:00;1.28022;1.28147;1.27996;1.28136;2213;1
2024.07.08 11:00;1.28136;1.28213;1.28127;1.28191;2060;0
2024.07.08 12:00;1.28190;1.28219;1.28128;1.28191;1679;0
2024.07.08 13:00;1.28192;1.28302;1.28158;1.28167;1706;0
2024.07.08 14:00;1.28167;1.28324;1.28144;1.28324;1709;0
2024.07.08 15:00;1.28326;1.28399;1.28321;1.28382;1923;0
2024.07.08 16:00;1.28382;1.28445;1.28358;1.28411;1984;0
2024.07.08 17:00;1.28408;1.28455;1.28289;1.28333;2062;0
2024.07.08 18:00;1.28332;1.28334;1.28244;1.28256;1629;0
2024.07.08 19:00;1.28254;1.28265;1.28201;1.28212;1242;0
2024.07.08 20:00;1.28212;1.28225;1.28148;1.28176;989;3
2024.07.08 21:00;1.28175;1.28175;1.28078;1.28120;758;0
2024.07.08 22:00;1.28119;1.28122;1.28078;1.28096;776;3
2024.07.08 23:00;1.28096;1.28101;1.28036;1.28059;304;0
2024.07.09 00:00;1.28042;1.28102;1.28024;1.28068;389;0
2024.07.09 01:00;1.28072;1.28096;1.28065;1.28094;319;2
2024.07.09 02:00;1.28094;1.28157;1.28089;1.28153;456;0
2024.07.09 03:00;1.28157;1.28167;1.28072;1.28081;664;0
2024.07.09 04:00;1.28082;1.28088;1.28005;1.28029;888;0
2024.07.09 05:00;1.28029;1.28059;1.27989;1.28042;1014;1
2024.07.09 06:00;1.28042;1.28070;1.28034;1.28051;910;1
2024.07.09 07:00;1.28051;1.28092;1.28043;1.28087;779;0
2024.07.09 08:00;1.28086;1.28113;1.28055;1.28100;843;0
2024.07.09 09:00;1.28114;1.28125;1.28029;1.28066;1588;0
2024.07.09 10:00;1.28067;1.28120;1.27966;1.27981;1794;0
2024.07.09 11:00;1.27981;1.28058;1.27961;1.28054;1624;0
2024.07.09 12:00;1.28054;1.28143;1.28041;1.28081;1035;0
2024.07.09 13:00;1.28080;1.28253;1.28055;1.28144;1392;0
2024.07.09 14:00;1.28144;1.28146;1.27937;1.27996;1647;0
2024.07.09 15:00;1.27997;1.28068;1.27975;1.28066;1731;0
2024.07.09 16:00;1.28075;1.28209;1.28042;1.28153;1998;0
2024.07.09 17:00;1.28153;1.28207;1.27911;1.27969;3317;0
2024.07.09 18:00;1.27969;1.28021;1.27779;1.27845;2482;0
2024.07.09 19:00;1.27845;1.27869;1.27781;1.27830;1845;3
2024.07.09 20:00;1.27830;1.27903;1.27821;1.27826;1753;2
2024.07.09 21:00;1.27824;1.27878;1.27815;1.27866;1045;3
2024.07.09 22:00;1.27867;1.27898;1.27841;1.27897;1073;2
2024.07.09 23:00;1.27898;1.27900;1.27854;1.27854;378;0
2024.07.10 00:00;1.27833;1.27885;1.27788;1.27866;483;0
2024.07.10 01:00;1.27857;1.27882;1.27854;1.27875;429;3
2024.07.10 02:00;1.27876;1.27889;1.27863;1.27878;465;3
2024.07.10 03:00;1.27878;1.27915;1.27842;1.27857;971;0
2024.07.10 04:00;1.27858;1.27894;1.27851;1.27874;994;2
2024.07.10 05:00;1.27874;1.27895;1.27845;1.27893;1214;0
2024.07.10 06:00;1.27894;1.27945;1.27886;1.27924;645;0
2024.07.10 07:00;1.27924;1.27944;1.27913;1.27943;738;0
2024.07.10 08:00;1.27944;1.27964;1.27885;1.27903;664;0
2024.07.10 09:00;1.27906;1.27976;1.27891;1.27964;1520;0
2024.07.10 10:00;1.27968;1.28018;1.27901;1.27922;1710;0
2024.07.10 11:00;1.27922;1.27988;1.27893;1.27966;1615;0
2024.07.10 12:00;1.27967;1.28118;1.27966;1.28087;1519;0
2024.07.10 13:00;1.28087;1.28113;1.28021;1.28083;1406;0
2024.07.10 14:00;1.28082;1.28122;1.28057;1.28058;1405;0
2024.07.10 15:00;1.28057;1.28116;1.28048;1.28083;1435;0
2024.07.10 16:00;1.28083;1.28367;1.28064;1.28286;2206;0
2024.07.10 17:00;1.28286;1.28447;1.28262;1.28296;2327;0
2024.07.10 18:00;1.28297;1.28466;1.28296;1.28410;1836;0
2024.07.10 19:00;1.28410;1.28466;1.28398;1.28462;1469;1
2024.07.10 20:00;1.28462;1.28469;1.28348;1.28395;1346;0
2024.07.10 21:00;1.28396;1.28458;1.28360;1.28456;853;0
2024.07.10 22:00;1.28455;1.28465;1.28407;1.28461;868;0
2024.07.10 23:00;1.28459;1.28488;1.28450;1.28477;424;0
2024.07.11 00:00;1.28476;1.28487;1.28454;1.28486;118;8
2024.07.11 01:00;1.28486;1.28495;1.28484;1.28493;320;0
2024.07.11 02:00;1.28494;1.28542;1.28493;1.28540;435;0
2024.07.11 03:00;1.28541;1.28582;1.28525;1.28546;961;0
2024.07.11 04:00;1.28546;1.28566;1.28491;1.28561;797;1
2024.07.11 05:00;1.28562;1.28642;1.28560;1.28617;822;0
2024.07.11 06:00;1.28617;1.28628;1.28589;1.28611;614;0
2024.07.11 07:00;1.28611;1.28615;1.28570;1.28580;560;0
2024.07.11 08:00;1.28581;1.28605;1.28550;1.28550;652;0
2024.07.11 09:00;1.28549;1.28679;1.28549;1.28590;1921;0
2024.07.11 10:00;1.28590;1.28704;1.28565;1.28659;1771;0
2024.07.11 11:00;1.28659;1.28751;1.28659;1.28750;1541;0
2024.07.11 12:00;1.28749;1.28790;1.28729;1.28761;1499;0
2024.07.11 13:00;1.28761;1.28816;1.28742;1.28770;1321;0
2024.07.11 14:00;1.28770;1.28791;1.28712;1.28770;1166;0
2024.07.11 15:00;1.28769;1.29487;1.28688;1.29316;3751;0
2024.07.11 16:00;1.29314;1.29483;1.29036;1.29271;4570;0
2024.07.11 17:00;1.29270;1.29364;1.29110;1.29241;3481;0
